,title,value
8427,day before comey appearance u s intel chief to testify on surveillance,1.0
747,trump ha total unhinged scatter brained mental meltdown for the entire world to see,0.0
9089,booed in berlin for praising father ivanka trump say fine tuning role,1.0
8018,u s juror hear closing argument over iran linked office tower,1.0
9381,syrian regime bear full responsibility for u s strike nato,1.0
8725,schumer comey should still testify to congressional committee,1.0
2273,card against humanity maker ha amazingly annoying way to force gopers to hold town hall,0.0
2258,wtf top trump advisor tell trump to kill liberal audio,0.0
4894,trump supporting kkk leader defends trump and alt right in response to hillary s brilliant speech,0.0
8435,india say committed to climate pact despite u s withdrawal,1.0
5502,trump to make remark at white house at 3 p m est,1.0
2484,this latest president obama accolade will enrage trump who is only getting more unpopular,0.0
4364,conservative writer call black voter hillary s loyal slave for not blindly supporting donald trump,0.0
1303,hannity get the snowflake treatment after melting down over being mocked in satire piece,0.0
8160,unremarkable virginia attacker show difficulty of fighting political violence,1.0
2803,trump regret on twitter is everything you hoped it would be,0.0
5239,white house pressure big corn to meet on u s biofuels policy,1.0
3151,stunning new report show huge number of ineligible elector could put trump below 270,0.0
8413,will trump block comey testimony white house doe not know yet,1.0
6852,mnuchin say tax overhaul still in sight for 2017,1.0
7779,trump jr russia email prompt new government watchdog complaint,1.0
3287,alec baldwin troll trump with offer to perform at his inauguration and it s amazing,0.0
3515,newt gingrich just praised japan for what they did to u at pearl harbor tweet,0.0
9494,thai pm say don t worry about u s trade policy yet,1.0
6375,u s voting commission vice chair urged new voting restriction,1.0
3201,ex white house press secretary come forward with dire warning about trump detail,0.0
9713,house clear way for debate on trump backed healthcare bill,1.0
6449,top house intelligence democrat intends to make sample of russia bought facebook ad public,1.0
8961,trump nominee for ambassador to beijing say china can do more on north korea,1.0
7331,senate reauthorizes fda to collect fee from drugmakers,1.0
4195,sick trump told 14 year old girl he would be dating them in a couple year,0.0
6762,former u s senator pete domenici heavyweight on budget energy issue dy,1.0
6541,trump expected to set u s refugee cap at 45 000 source,1.0
2834,holy f ck trump literally ha a white nationalist writing his executive order,0.0
8641,texas border county of el paso sue to halt sanctuary city law,1.0
3191,nixon historian say donald trump is more petty and vengeful video,0.0
9330,feuding trump aide meet and agree to end palace intrigue source,1.0
6691,democrat to study every option to halt obamacare repeal bill,1.0
9789,behind the scene bank lobbyist temper expectation for dodd frank overhaul,1.0
8445,france say will lead renewed effort to make the planet great again,1.0
4945,just in trump want to bring reality television to the white house audio,0.0
6497,u s vote to advance fcc chairman nomination,1.0
8966,white house defends trump invitation to duterte despite human right criticism,1.0
615,trump brag about how powerful america s nuclear arsenal is in scary twitter post,0.0
8489,former vice president biden to announce political action committee,1.0
755,trump just made a hugely inappropriate threat over trumpcare while speaking to boy scout video,0.0
9410,factbox issue at stake in trump china summit in florida,1.0
8871,u s republican graham curious on trump business deal,1.0
4618,heckler scream f ck hillary at clinton rally and she just laugh at him video,0.0
7699,trump say disappointed about collapse of obamacare repeal bill,1.0
9673,after healthcare flop white house seek help from congress on tax,1.0
8190,six michigan official criminally charged in flint water crisis,1.0
5330,republican party back embattled senate candidate moore official,1.0
3980,trump fan openly admits to planning assassination on hillary if she s elected image,0.0
8235,u s senator reach deal on russia sanction,1.0
461,kellyanne conway immediately regret defending trump humiliates herself on live television video,0.0
9895,lawmaker vow to fight proposed cut in chesapeake great lake clean ups,1.0
6528,u s house freedom caucus back republican tax reform framework statement,1.0
4368,report trump illegally used charity money to jumpstart presidential campaign,0.0
2884,trump get revenge on woman s march by signing executive order that will kill a bunch of woman and girl,0.0
1533,adviser leak what trump doe when he see russia scandal on tv it s really really weird,0.0
1717,chaffetz s decision to quit mean big trouble for trump and here s exactly how,0.0
936,the internet eviscerates whiny nikki haley after she complains about having to do her job tweet,0.0
1786,librarian just humiliated ivanka trump for blatant hypocrisy and it wa beautiful,0.0
9912,senate confirms trump intelligence nominee security adviser,1.0
